time_s,tip_z_displacement_mm,left_z_displacement_mm,right_z_displacement_mm
0.13999999687075615,2004.5995712280273,7.062315940856934,7.228851318359375
0.1599999964237213,2004.9850940704346,6.829500198364258,6.630897521972656
0.17999999597668648,2004.3292045593262,7.324814796447754,7.572412490844727
0.19999999552965164,2003.1495094299316,8.45646858215332,8.686065673828125
0.2199999950826168,2002.5420188903809,9.05919075012207,9.303092956542969
0.23999999463558197,2002.105951309204,9.389400482177734,9.823083877563477
0.25999999418854713,2002.396583557129,9.098172187805176,9.57345962524414
0.2799999937415123,2002.6605129241943,8.819103240966797,9.216547012329102
0.29999999329447746,2003.103494644165,8.387088775634766,8.831501007080078
0.3199999928474426,2002.7825832366943,8.69607925415039,9.161710739135742
0.3399999924004078,2002.3291110992432,9.099483489990234,9.720563888549805
0.35999999195337296,2002.5343894958496,8.927345275878906,9.56106185913086
0.3799999915063381,2002.3579597473145,9.179353713989258,9.590387344360352
0.3999999910593033,2001.5685558319092,9.879112243652344,10.410308837890625
0.41999999061226845,2000.819206237793,10.52403450012207,11.111021041870117
0.4399999901652336,2001.2085437774658,10.270357131958008,10.689258575439453
0.4599999897181988,2001.422643661499,9.993791580200195,10.607004165649414
0.47999998927116394,2001.549482345581,9.922027587890625,10.336875915527344
0.4999999888241291,2001.5251636505127,9.90450382232666,10.367393493652344
0.5199999883770943,2001.9476413726807,9.498953819274902,9.879112243652344
0.5399999879300594,2002.7048587799072,8.81969928741455,9.119987487792969
0.5599999874830246,2002.948522567749,8.546948432922363,8.912801742553711
0.5799999870359898,2002.9001235961914,8.577466011047363,8.901596069335938
0.5999999865889549,2003.1487941741943,8.348226547241211,8.702278137207031
0.6199999861419201,2003.0345916748047,8.424997329711914,8.848190307617188
0.6399999856948853,2003.0186176300049,8.472204208374023,8.832216262817383
0.6599999852478504,2002.5672912597656,8.911848068237305,9.347677230834961
0.6799999848008156,2002.1708011627197,9.303092956542969,9.731292724609375
0.6999999843537807,2001.7783641815186,9.645938873291016,10.161399841308594
0.7199999839067459,2001.8746852874756,9.59014892578125,10.021686553955078
0.7399999834597111,2002.2404193878174,9.248137474060059,9.62066650390625
0.7599999830126762,2002.3972988128662,9.066104888916016,9.500265121459961
0.7799999825656414,2002.7854442596436,8.6897611618042,9.081363677978516
0.7999999821186066,2003.0517578125,8.532166481018066,8.636951446533203
0.8199999816715717,2002.9394626617432,8.577346801757812,8.877992630004883
0.8399999812245369,2002.713918685913,8.83626937866211,9.038209915161133
0.8599999807775021,2002.490520477295,9.058833122253418,9.21940803527832
0.8799999803304672,2002.5408267974854,9.037137031555176,9.097576141357422
0.8999999798834324,2002.6562213897705,8.923888206481934,9.03773307800293
0.9199999794363976,2002.5629997253418,8.964180946350098,9.073495864868164
0.9399999789893627,2002.8462409973145,8.714556694030762,8.816719055175781
0.9599999785423279,2002.5482177734375,8.962035179138184,9.228229522705078
0.979999978095293,2002.305269241333,9.155988693237305,9.536981582641602
0.9999999776482582,2002.0654201507568,9.379267692565918,9.81903076171875
1.0199999772012234,2001.62935256958,9.771108627319336,10.289669036865234
1.0399999767541885,2001.5950202941895,9.908080101013184,10.224342346191406
1.0599999763071537,2001.6400814056396,9.86623764038086,10.135889053344727
1.0799999758601189,2002.1758079528809,9.287595748901367,9.775400161743164
1.099999975413084,2002.2826194763184,9.310722351074219,9.439706802368164
1.1199999749660492,2002.2542476654053,9.264826774597168,9.710073471069336
1.1399999745190144,2001.4915466308594,9.947657585144043,10.33473014831543
1.1599999740719795,2001.6701221466064,9.811997413635254,10.178089141845703
1.1799999736249447,2001.7223358154297,9.76860523223877,10.047197341918945
1.1999999731779099,2001.8703937530518,9.635090827941895,9.956598281860352
1.219999972730875,2001.6112327575684,9.897828102111816,10.102033615112305
1.2399999722838402,2001.6882419586182,9.817957878112793,10.113954544067383
1.2599999718368053,2001.5497207641602,9.89675521850586,10.267257690429688
1.2799999713897705,2001.6732215881348,9.787440299987793,10.105371475219727
1.2999999709427357,2001.8720626831055,9.595394134521484,9.845972061157227
1.3199999704957008,2002.5122165679932,8.980512619018555,9.26661491394043
1.339999970048666,2002.6428699493408,8.859992027282715,9.111404418945312
1.3599999696016312,2002.6404857635498,8.851408958435059,9.20867919921875
1.3799999691545963,2002.3088455200195,9.230494499206543,9.485960006713867
1.3999999687075615,2002.345085144043,9.087681770324707,9.544849395751953
1.4199999682605267,2002.634048461914,8.84866714477539,9.161233901977539
1.4399999678134918,2003.3597946166992,8.212447166442871,8.388757705688477
1.459999967366457,2003.2966136932373,8.249759674072266,8.477449417114258
1.4799999669194221,2003.3714771270752,8.212447166442871,8.39543342590332
1.4999999664723873,2002.7482509613037,8.820414543151855,8.912086486816406
1.5199999660253525,2002.6030540466309,8.921146392822266,9.155511856079102
1.5399999655783176,2002.5520324707031,8.97073745727539,9.17506217956543
1.5599999651312828,2002.2878646850586,9.256482124328613,9.453773498535156
1.579999964684248,2002.0332336425781,9.428262710571289,9.72890853881836
1.5999999642372131,2002.467393875122,9.092450141906738,9.282588958740234
1.6199999637901783,2002.4693012237549,9.12487506866455,9.149789810180664
1.6399999633431435,2002.60591506958,8.944034576416016,9.069681167602539
1.6599999628961086,2002.906322479248,8.641839027404785,8.887052536010742
1.6799999624490738,2002.6884078979492,8.849620819091797,8.99648666381836
1.699999962002039,2003.0481815338135,8.554577827453613,8.716344833374023
1.7199999615550041,2002.99072265625,8.594274520874023,8.669614791870117
1.7399999611079693,2003.335952758789,8.289337158203125,8.373022079467773
1.7599999606609344,2003.1561851501465,8.450508117675781,8.538484573364258
